,wind speed in knots (TWS),  speed in knots
angle (TWA),2,4,6,8,10,12,14,16,20
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
10,0.223,0.362,0.451,0.514,0.562,0.602,0.639,0.678,0.823
15,0.381,0.682,0.922,1.114,1.271,1.402,1.517,1.625,1.860
20,0.551,1.031,1.444,1.795,2.092,2.340,2.548,2.724,3.022
25,0.741,1.416,2.020,2.545,2.991,3.358,3.653,3.884,4.210
30,0.957,1.857,2.673,3.383,3.976,4.448,4.805,5.059,5.340
35,1.210,2.373,3.428,4.322,5.029,5.559,5.937,6.172,6.287
38,1.371,2.708,3.919,4.914,5.642,6.139,6.485,6.720,6.684
39,1.421,2.814,4.078,5.107,5.829,6.302,6.620,6.834,6.790
40,1.469,2.913,4.224,5.287,6.000,6.450,6.749,6.931,6.906
41,1.512,3.000,4.349,5.440,6.142,6.583,6.865,7.022,7.017
44,1.618,3.190,4.580,5.657,6.397,6.858,7.121,7.250,7.288
52,1.849,3.615,5.090,6.060,6.820,7.180,7.370,7.500,7.600
60,1.987,3.872,5.420,6.380,7.100,7.480,7.660,7.790,7.930
70,2.078,4.032,5.620,6.600,7.270,7.690,7.950,8.090,8.260
75,2.092,4.058,5.650,6.640,7.290,7.740,8.060,8.230,8.430
80,2.068,4.015,5.660,6.840,7.340,7.750,8.110,8.360,8.590
90,2.135,4.187,5.920,7.040,7.560,7.760,8.060,8.420,8.890
110,2.080,4.090,5.810,6.980,7.760,8.350,8.710,8.920,9.360
120,2.021,3.977,5.670,6.870,7.580,8.120,8.660,9.170,9.810
135,1.767,3.479,4.980,6.090,7.030,7.620,8.130,8.640,9.890
140,1.624,3.187,4.590,5.763,6.694,7.419,8.015,8.560,9.628
144,1.517,2.985,4.340,5.520,6.463,7.215,7.830,8.364,9.354
145,1.492,2.937,4.278,5.451,6.400,7.156,7.769,8.295,9.274
150,1.371,2.698,3.960,5.140,6.060,6.870,7.450,7.920,8.880
154,1.301,2.561,3.756,4.851,5.808,6.610,7.243,7.770,8.732
165,1.139,2.239,3.300,4.340,5.350,6.140,6.880,7.430,8.340
166,1.132,2.226,3.284,4.321,5.307,6.117,6.840,7.401,8.322
177,1.088,2.147,3.177,4.173,5.105,5.931,6.646,7.240,8.157
178,1.080,2.131,3.155,4.155,5.099,5.925,6.646,7.242,8.140
180,1.060,2.092,3.100,4.100,5.070,5.880,6.620,7.230,8.140
