Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6
File ID:,Type: 4,Manufacturer: 1,Serial Number: 3967827018,
Calibration message,Calibration Factor,5,Gyro Calibration Factor,5,Calibration Divisor,82,Level Shift,32768,Offset,40,Offset,12,Offset,-73,
Calibration message,Calibration Factor,1,Accel Calibration Factor,1,Calibration Divisor,2048,Level Shift,32768,Offset,32,Offset,-36,Offset,-139,
Calibration message,Calibration Factor,1,Calibration Divisor,600,Level Shift,32768,Offset,180,Offset,180,Offset,-9,
Calibration message,Calibration Factor,5,Gyro Calibration Factor,5,Calibration Divisor,82,Level Shift,32768,Offset,38,Offset,13,Offset,-71,
Calibration message,Calibration Factor,5,Gyro Calibration Factor,5,Calibration Divisor,82,Level Shift,32768,Offset,38,Offset,13,Offset,-71,
Calibration message,Calibration Factor,5,Gyro Calibration Factor,5,Calibration Divisor,82,Level Shift,32768,Offset,37,Offset,13,Offset,-71,
Calibration message,Calibration Factor,5,Gyro Calibration Factor,5,Calibration Divisor,82,Level Shift,32768,Offset,37,Offset,13,Offset,-71,
Calibration message,Calibration Factor,5,Gyro Calibration Factor,5,Calibration Divisor,82,Level Shift,32768,Offset,37,Offset,13,Offset,-71,
Calibration message,Calibration Factor,5,Gyro Calibration Factor,5,Calibration Divisor,82,Level Shift,32768,Offset,37,Offset,13,Offset,-71,
Calibration message,Calibration Factor,1,Calibration Divisor,600,Level Shift,32768,Offset,180,Offset,180,Offset,-9,
Gyroscope data:,Calibrated Gyro X,[-0.121951][-0.182927][-0.121951][-0.243902][-0.243902][-0.121951][-0.121951][-0.121951][-0.060976][-0.121951][-0.243902][-0.304878][-0.304878][-0.304878][-0.121951][-0.121951][-0.182927][0.000000][-0.182927][-0.243902][-0.182927][-0.243902][-0.243902][-0.060976][-0.182927][-0.304878][-0.365854][-0.243902][-0.304878][-0.243902],Calibrated Gyro Y,[-0.121951][-0.121951][-0.060976][0.060976][0.060976][0.060976][0.060976][0.060976][0.000000][0.000000][0.060976][0.060976][-0.060976][0.000000][-0.060976][0.121951][0.304878][0.000000][-0.121951][0.000000][-0.121951][-0.182927][-0.060976][0.000000][0.060976][0.121951][0.060976][0.060976][0.121951][0.060976],Calibrated Gyro Z,[-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000],
Accelerometer data:,Calibrated Accel X,[0.025879][0.023926][0.022461][0.022461][0.021973][0.022949][0.022949][0.023926][0.022949][0.023438][0.024414][0.023438][0.022461][0.023438][0.023438][0.022949][0.023438][0.023926][0.022949][0.021484][0.022461][0.022949][0.022949][0.023438][0.024902][0.023926][0.022949][0.024902][0.025879][0.024902],Calibrated Accel Y,[-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000],Calibrated Accel Z,[-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000],
Gyroscope data:,Calibrated Gyro X,[-0.243902][-0.182927][-0.121951][-0.121951][-0.060976][-0.121951][-0.182927][-0.060976][-0.121951][-0.243902][-0.243902][-0.121951][-0.182927][-0.121951][-0.304878][-0.182927][0.121951][0.000000][0.000000][-0.182927][-0.243902][-0.121951][-0.121951][-0.121951][-0.182927][-0.182927][-0.060976][-0.121951][-0.243902][-0.243902],Calibrated Gyro Y,[0.121951][0.060976][-0.060976][0.121951][0.121951][-0.060976][0.000000][-0.060976][0.000000][0.060976][-0.060976][0.121951][0.243902][0.182927][0.182927][0.000000][-0.060976][0.000000][0.000000][-0.060976][0.060976][0.060976][-0.060976][-0.182927][0.000000][0.060976][-0.121951][-0.121951][0.060976][0.060976],Calibrated Gyro Z,[-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000],
Accelerometer data:,Calibrated Accel X,[0.024414][0.024414][0.023926][0.023926][0.023926][0.023438][0.023926][0.024414][0.023926][0.023438][0.023438][0.023926][0.024902][0.024902][0.024414][0.025391][0.024902][0.024414][0.024902][0.024902][0.022949][0.021973][0.024902][0.024902][0.021973][0.022461][0.024414][0.025391][0.024902][0.024414],Calibrated Accel Y,[-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000],Calibrated Accel Z,[-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000],
Gyroscope data:,Calibrated Gyro X,[-0.121951][-0.182927][-0.121951][-0.060976][-0.121951][-0.182927][-0.182927][-0.182927][-0.182927][-0.182927][-0.182927][-0.182927][-0.121951][-0.121951][-0.243902][-0.121951][-0.060976][-0.243902][-0.182927][-0.121951][-0.243902][-0.304878][-0.243902][-0.182927][-0.182927][-0.243902][-0.243902][-0.060976][-0.060976][-0.243902],Calibrated Gyro Y,[0.060976][0.060976][0.000000][0.060976][0.060976][0.000000][-0.121951][0.000000][0.182927][0.060976][0.060976][0.000000][-0.060976][0.060976][0.060976][0.060976][0.000000][0.060976][0.060976][0.121951][0.000000][0.000000][0.060976][0.060976][0.121951][0.000000][-0.121951][-0.060976][0.060976][0.121951],Calibrated Gyro Z,[-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000],
Accelerometer data:,Calibrated Accel X,[0.022949][0.022949][0.023926][0.022949][0.023926][0.023926][0.024902][0.024902][0.023926][0.024414][0.025391][0.023926][0.024414][0.023926][0.021973][0.022461][0.022949][0.023926][0.025879][0.023438][0.021484][0.024414][0.023926][0.023438][0.023926][0.025391][0.024902][0.022949][0.022461][0.024902],Calibrated Accel Y,[-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000],Calibrated Accel Z,[-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000],
Gyroscope data:,Calibrated Gyro X,[-0.121951][-0.121951][-0.121951][-0.121951][-0.060976][-0.182927][-0.121951][0.000000][-0.182927][-0.182927][-0.121951][-0.182927][-0.243902][-0.121951][-0.121951][-0.243902][-0.243902][-0.182927][-0.243902][-0.182927][-0.182927][-0.243902][-0.243902][-0.304878][-0.121951][-0.060976][-0.121951][-0.304878][-0.243902][-0.060976],Calibrated Gyro Y,[0.000000][-0.182927][-0.121951][0.000000][0.060976][0.060976][0.060976][0.060976][0.000000][0.060976][-0.060976][0.000000][0.000000][0.000000][0.060976][-0.121951][-0.121951][-0.060976][0.121951][0.060976][0.000000][0.060976][0.060976][0.060976][0.060976][0.000000][0.000000][0.000000][0.060976][0.121951],Calibrated Gyro Z,[-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000],
Accelerometer data:,Calibrated Accel X,[0.024902][0.023926][0.023926][0.024414][0.023438][0.023926][0.023926][0.023438][0.022461][0.023438][0.024414][0.023926][0.024902][0.023926][0.024414][0.024414][0.022949][0.021973][0.023438][0.024414][0.023926][0.023926][0.024902][0.024902][0.026367][0.024902][0.021973][0.021973][0.021973][0.022949],Calibrated Accel Y,[-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000],Calibrated Accel Z,[-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000],
Gyroscope data:,Calibrated Gyro X,[-0.182927][-0.060976][-0.182927][-0.243902][-0.121951][-0.243902][-0.243902][-0.060976][-0.121951][-0.182927][-0.121951][-0.182927][-0.304878][0.000000][0.914634][2.256098][2.743902][2.621951][2.073171][1.097561][0.426829][-0.243902][-0.731707][-1.402439][-1.768293][-1.646341][-1.280488][-0.792683][-0.548780][-0.548780],Calibrated Gyro Y,[-0.060976][0.000000][0.060976][0.182927][0.060976][-0.060976][-0.060976][0.000000][0.000000][0.121951][0.121951][0.060976][0.243902][-0.365854][-1.951219][-2.560976][-1.280488][0.792683][2.012195][1.707317][0.365854][-0.670732][-0.853658][0.000000][0.731707][0.731707][0.243902][-0.182927][-0.304878][-0.060976],Calibrated Gyro Z,[-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000][-261888240.000000],
Accelerometer data:,Calibrated Accel X,[0.022949][0.023438][0.023926][0.023438][0.022461][0.022949][0.022949][0.021973][0.021973][0.023926][0.025879][0.017090][0.000977][0.010742][0.037598][0.051758][0.043945][0.020996][0.004883][0.006836][0.020996][0.032227][0.033691][0.026855][0.017090][0.015137][0.021973][0.028809][0.031250][0.031250],Calibrated Accel Y,[-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000][-2097152.000000],Calibrated Accel Z,[-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000][-2097153.000000],
